home_score,away_score,empate,dif_gol,local,visitante,num_continente_local,num_continente_visitante,num_continente_anfitrion
0,3,False,-3,5,75,2,1,1
4,1,False,3,26,42,2,1,1
1,2,False,-1,8,78,1,2,1
1,3,False,-2,52,56,1,2,1
1,0,False,1,2,25,1,2,1
3,0,False,3,12,42,1,1,1
0,4,False,-4,6,78,1,2,1
0,3,False,-3,51,75,1,1,1
1,0,False,1,77,52,1,1,1
6,3,False,3,2,42,1,1,1
1,0,False,1,12,25,1,2,1
0,1,False,-1,5,51,2,1,1
0,4,False,-4,6,8,1,1,1
4,0,False,4,77,56,1,2,1
3,1,False,2,2,12,1,1,1
6,1,False,5,2,75,1,1,1
6,1,False,5,77,78,1,2,1
4,2,False,2,77,2,1,1,1
2,3,False,-1,2,67,1,2,2
3,2,False,1,4,25,2,2,2
2,5,False,-3,5,27,2,2,2
1,3,False,-2,8,66,1,2,2
2,1,False,1,19,56,2,2,2
2,4,False,-2,23,32,4,2,2
7,1,False,6,38,75,2,1,2
2,3,False,-1,44,68,2,2,2
2,1,False,1,4,32,2,2,2
3,2,False,1,19,68,2,2,2
2,1,False,1,28,67,2,2,2
1,1,True,0,38,66,2,2,2
1,0,False,1,38,66,2,2,2
3,1,False,2,19,27,2,2,2
1,0,False,1,38,4,2,2,2
2,3,False,-1,4,27,2,2,2
2,1,False,1,38,18,2,2,2
1,1,True,0,28,68,2,2,2
6,5,False,1,8,53,1,2,2
3,3,True,0,17,56,1,2,2
3,0,False,3,19,44,2,2,2
3,1,False,2,26,5,2,2,2
6,0,False,6,33,34,2,3,2
2,1,False,1,38,49,2,2,2
2,1,False,1,17,56,1,2,2
2,4,False,-2,28,68,2,2,2
1,1,True,0,8,18,1,2,2
0,8,False,-8,17,67,1,2,2
1,3,False,-2,26,37,2,2,2
2,0,False,2,33,68,2,2,2
2,1,False,1,8,18,1,2,2
1,2,False,-1,8,37,1,2,2
5,1,False,4,33,67,2,2,2
4,2,False,2,8,67,1,2,2
2,4,False,-2,33,37,2,2,2
4,0,False,4,8,42,1,1,1
0,2,False,-2,12,24,1,2,1
2,3,False,-1,38,67,2,2,1
3,1,False,2,67,75,2,1,1
0,3,False,-3,69,78,2,2,1
2,2,True,0,8,68,1,2,1
1,4,False,-3,42,78,1,2,1
0,2,False,-2,12,66,1,2,1
0,1,False,-1,25,75,2,1,1
2,2,True,0,51,67,1,2,1
2,0,False,2,8,78,1,2,1
0,8,False,-8,6,76,1,1,1
5,2,False,3,12,75,1,1,1
0,1,False,-1,25,66,2,2,1
2,0,False,2,38,51,2,1,1
1,2,False,-1,42,68,1,2,1
7,1,False,6,8,67,1,2,1
2,2,True,0,67,76,2,1,1
6,1,False,5,8,66,1,2,1
2,3,False,-1,68,76,2,1,1
1,2,False,-1,8,76,1,1,1
1,3,False,-2,67,67,2,2,1
1,0,False,1,4,59,2,2,2
5,0,False,5,8,42,1,1,2
0,2,False,-2,19,76,2,1,2
0,1,False,-1,26,78,2,2,2
4,4,True,0,5,24,2,2,2
4,1,False,3,28,72,2,3,2
9,0,False,9,33,65,2,3,2
2,1,False,1,69,37,2,2,2
5,0,False,5,4,18,2,2,2
1,1,True,0,8,78,1,2,2
3,2,False,1,26,42,2,1,2
0,7,False,-7,60,76,2,1,2
1,4,False,-3,5,37,2,2,2
3,8,False,-5,28,32,2,2,2
0,7,False,-7,66,72,3,3,2
0,2,False,-2,69,24,2,2,2
7,2,False,5,28,72,2,3,2
4,1,False,3,69,37,2,2,2
2,4,False,-2,25,76,2,1,2
5,7,False,-2,69,4,2,2,2
2,4,False,-2,8,32,1,2,2
2,0,False,2,28,78,2,2,2
1,6,False,-5,4,27,2,2,2
4,2,False,2,33,76,2,1,2
3,1,False,2,4,76,2,1,2
3,2,False,1,28,32,2,2,2
1,3,False,-2,2,27,1,2,2
0,3,False,-3,4,8,2,1,2
0,1,False,-1,19,48,2,2,2
2,2,True,0,25,57,2,2,2
7,3,False,4,26,51,2,1,2
1,1,True,0,33,77,2,2,2
1,1,True,0,60,78,2,2,2
3,0,False,3,68,42,2,1,2
3,1,False,2,2,48,1,2,2
0,2,False,-2,4,57,2,2,2
0,0,True,0,8,24,1,2,2
2,2,True,0,19,27,2,2,2
2,3,False,-1,26,78,2,2,2
1,1,True,0,42,77,1,2,2
3,2,False,1,51,59,1,2,2
2,1,False,1,68,32,2,2,2
1,6,False,-5,2,18,1,2,2
2,2,True,0,4,24,2,2,2
2,0,False,2,8,57,1,2,2
2,1,False,1,26,59,2,2,2
2,2,True,0,28,48,2,2,2
4,0,False,4,33,42,2,1,2
3,3,True,0,51,78,1,2,2
0,0,True,0,68,77,2,2,2
1,2,False,-1,19,48,2,2,2
0,1,False,-1,25,57,2,2,2
1,2,False,-1,33,77,2,2,2
1,0,False,1,8,77,1,2,2
4,0,False,4,26,48,2,2,2
1,0,False,1,28,78,2,2,2
2,0,False,2,68,57,2,2,2
5,2,False,3,8,25,1,2,2
3,1,False,2,68,27,2,2,2
6,3,False,3,26,27,2,2,2
2,5,False,-3,68,8,2,1,2
1,0,False,1,2,9,1,2,1
2,0,False,2,8,42,1,1,1
3,1,False,2,12,68,1,2,1
1,2,False,-1,14,76,1,1,1
1,0,False,1,19,66,2,2,1
1,2,False,-1,25,32,2,2,1
0,0,True,0,28,37,2,2,1
2,0,False,2,58,78,2,2,1
1,3,False,-2,2,24,1,2,1
0,0,True,0,8,18,1,2,1
2,0,False,2,12,37,1,2,1
1,3,False,-2,77,78,1,2,1
1,6,False,-5,9,32,2,2,1
4,4,True,0,14,57,1,2,1
2,1,False,1,28,68,2,2,1
0,1,False,-1,42,66,1,2,1
0,0,True,0,2,32,1,2,1
2,1,False,1,8,66,1,2,1
0,2,False,-2,12,27,1,2,1
2,1,False,1,58,76,2,1,1
0,0,True,0,9,24,2,2,1
0,5,False,-5,14,78,1,2,1
1,3,False,-2,19,42,2,1,1
3,0,False,3,38,68,2,2,1
3,1,False,2,8,24,1,2,1
2,1,False,1,12,57,1,2,1
1,0,False,1,19,32,2,2,1
0,1,False,-1,28,78,2,2,1
2,4,False,-2,12,8,1,1,1
3,1,False,2,19,78,2,2,1
1,0,False,1,12,78,1,2,1
3,1,False,2,8,18,1,2,1
0,0,True,0,25,76,2,1,2
2,0,False,2,8,9,1,2,2
5,0,False,5,28,68,2,2,2
0,3,False,-3,47,57,3,2,2
2,1,False,1,2,66,1,2,2
0,2,False,-2,12,37,1,2,2
1,1,True,0,26,42,2,1,2
1,3,False,-2,33,54,2,2,2
1,3,False,-2,8,32,1,2,2
1,1,True,0,12,47,1,3,2
1,2,False,-1,26,76,2,1,2
2,1,False,1,67,68,2,2,2
0,0,True,0,2,27,1,2,2
0,3,False,-3,9,54,2,2,2
2,0,False,2,25,42,2,1,2
0,1,False,-1,38,57,2,2,2
2,0,False,2,2,68,1,2,2
1,3,False,-2,8,54,1,2,2
0,1,False,-1,38,47,2,3,2
0,0,True,0,42,76,1,1,2
1,3,False,-2,9,32,2,2,2
1,2,False,-1,12,57,1,2,2
2,0,False,2,25,25,2,2,2
2,1,False,1,28,66,2,2,2
1,0,False,1,25,2,2,1,2
4,0,False,4,28,76,2,1,2
1,2,False,-1,33,57,2,2,2
3,5,False,-2,47,54,3,2,2
2,1,False,1,28,57,2,2,2
